,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
279,London,75,NO,1629036049,77,65.4625,12.1997,61.32,11.5
280,London,75,BB,1629036051,72,13.2167,-59.5167,83.98,15.97
281,London,89,GY,1629036052,89,8.2,-59.7833,79.54,2.46
282,London,100,CA,1629036053,61,55.7435,-97.8558,69.3,9.31
283,London,100,NO,1629036053,53,60.8629,8.5534,58.26,2.48
284,London,96,CN,1629036054,85,34.6836,112.4536,74.01,1.86
285,London,100,ID,1629036054,96,-2.5833,115.3833,74.68,2.57
286,London,72,BR,1629036055,66,-24.7911,-50.0119,67.03,3.94
287,London,86,TZ,1629036055,40,-8.1167,34.25,73.76,9.04
288,London,0,CY,1629036056,62,34.7667,32.4167,93.24,14.97
289,London,91,US,1629036056,72,57.79,-152.4072,48.07,5.26
290,London,100,RU,1629036057,95,62.0989,126.6992,62.85,2.17
291,London,36,BR,1629036057,66,-0.6136,-47.3561,84.81,6.6
292,London,75,NO,1629036058,88,62.5833,6.1333,65.16,10.36
293,London,20,MA,1629036058,69,34.0389,-6.8166,83.08,6.91
294,London,40,IN,1629036059,85,30.5667,79.5667,69.48,1.07
295,London,40,NZ,1629035975,73,-45.8742,170.5036,46.63,7.96
296,London,89,RU,1629036059,73,64.571,30.5767,59.41,10.42
297,London,99,PH,1629036060,75,16.2923,119.8062,81.5,4.97
298,London,100,RU,1629036061,84,55.6428,95.4522,58.03,2.08
299,London,96,MU,1629036061,63,-20.2078,57.7625,68.09,16.02
300,London,75,NO,1629036061,82,59.3556,5.2242,62.49,16.11
301,London,90,AU,1629035877,88,-21.15,149.2,66.18,9.22
302,London,100,CA,1629036062,63,68.2191,-135.0107,50.49,11.36
303,London,100,NZ,1629036062,90,-45.4167,167.7167,46.63,7.9
304,London,0,LY,1629036063,17,29.0331,21.5482,98.35,15.17
305,London,75,LK,1629036063,70,6.1241,81.1185,84.54,10.36
306,London,1,US,1629036064,72,41.52,-88.2017,74.07,4.61
307,London,3,BR,1629036064,58,-17.7125,-39.2481,77.88,6.04
308,London,99,LR,1629036064,62,6.4461,-10.6125,81.18,7.09
309,London,97,BR,1629036065,74,-21.6403,-41.0511,71.19,5.59
310,London,100,RU,1629036065,61,59.3733,28.6134,65.77,11.9
311,London,100,IN,1629036066,63,23.9,86.2,86.81,1.79
312,London,77,RU,1629036066,38,41.6773,48.146,81.05,9.86
313,London,73,ID,1629036067,91,-3.945,122.4989,74.66,2.8
314,London,99,ET,1629036067,60,5.7833,36.5667,72.23,0.6
315,London,6,SA,1629036067,8,26.326,43.975,107.78,9.06
316,London,24,PW,1629036068,72,7.0419,134.2556,77.5,9.01
317,London,83,RU,1629036068,68,66.5606,67.7975,56.89,17.54
318,London,0,IR,1629036069,5,33.5959,56.9244,98.65,14.65
319,London,79,RU,1629036069,61,60.9112,34.1706,66.49,10.76
320,London,4,RU,1629036070,88,49.2167,143.1167,54.27,9.82
321,London,8,US,1629036071,78,38.5614,-89.8973,75.49,7.7
322,London,0,AU,1629036071,36,-14.4667,132.2667,80.92,10.36
323,London,90,IN,1629036072,83,17.65,83.2667,80.92,6.91
324,London,92,CN,1629036072,31,41.7597,86.1469,78.94,5.19
325,London,7,ID,1629036072,77,-6.8844,112.2051,80.83,10.09
326,London,65,BR,1629036073,75,-20.3297,-40.2925,73.45,12.15
327,London,100,NO,1629035783,83,62.5943,9.6912,52.25,2.93
328,London,3,BR,1629036073,41,-21.4292,-45.9472,76.98,5.53
329,London,0,AO,1629036073,9,-17.0667,15.7333,91.08,2.1
330,London,93,CD,1629036074,39,-5.25,14.8667,86.49,5.08
331,London,96,RU,1629036074,76,66.8333,70.8333,56.07,17.05
332,London,100,US,1629036074,99,58.3019,-134.4197,51.22,3.89
333,London,90,US,1629036006,88,37.3394,-121.895,65.12,4.61
334,London,1,US,1629035824,33,37.1041,-113.5841,80.55,1.21
335,London,8,US,1629036075,84,21.3156,-158.0072,76.69,8.72
336,London,0,TM,1629036075,11,39.4816,62.9137,85.28,17.56
337,London,0,TR,1629036075,35,36.9559,36.2,95.52,10.0
338,London,95,CA,1629036076,57,51.2585,-80.6094,60.98,12.5
339,London,94,US,1629035952,59,42.1584,-72.3287,73.99,1.99
340,London,62,PT,1629036076,84,37.7167,-25.4333,75.61,11.41
341,London,80,GL,1629036077,67,65.6145,-37.6368,51.96,9.95
342,London,100,RU,1629036077,66,65.441,52.1498,66.15,7.16
343,London,90,CA,1629036077,100,65.282,-126.8329,50.04,3.44
344,London,100,GF,1629036078,91,5.3833,-52.95,76.35,10.58
345,London,2,BR,1629036078,51,-23.3156,-46.2214,67.66,5.5
346,London,100,CN,1629036079,87,30.4159,103.4609,74.59,4.38
347,London,81,NC,1629036079,72,-22.6667,167.4833,68.25,20.74
348,London,77,CG,1629036079,77,-4.7561,11.8578,77.18,8.88
349,London,49,NO,1629036080,76,68.1214,13.5031,52.66,19.57
350,London,1,ML,1629036080,14,20.1986,1.0114,104.4,4.27
351,London,100,IR,1629036081,82,25.2919,60.643,80.74,11.63
352,London,97,CN,1629036081,50,36.6167,101.7667,66.6,5.95
353,London,91,RU,1629036081,88,67.5662,30.4758,56.5,6.02
354,London,1,US,1629036082,61,46.7208,-92.1041,75.76,10.36
355,London,82,GA,1629036082,70,-1.5746,9.2618,80.76,12.3
356,London,75,CA,1629036082,83,46.1969,-59.957,80.89,3.0
357,London,2,MG,1629036083,53,-25.1667,45.05,65.93,14.36
358,London,14,CN,1629036083,80,35.5639,114.5058,72.93,4.83
359,London,71,SS,1629036011,73,7.7029,27.9953,81.39,5.01
360,London,0,IT,1629036084,45,45.9541,12.5029,97.75,1.01
361,London,100,JP,1629036084,92,34.6667,138.95,71.96,14.32
362,London,100,PG,1629036085,80,-2.5744,150.7967,81.75,9.91
363,London,0,AU,1629036085,45,-35.7167,150.1833,55.2,9.37
364,London,1,US,1629036085,69,37.2001,-94.3502,75.27,1.99
365,London,0,KZ,1629036086,46,44.5086,50.263,82.45,5.7
366,London,47,RE,1629036086,74,-20.9373,55.2919,69.8,2.62
367,London,14,RU,1629036087,86,51.6667,135.7,62.6,3.38
368,London,11,AR,1629036087,59,-38.5473,-58.7368,57.04,10.02
369,London,97,SA,1629036088,25,21.4267,39.8261,100.56,10.63
370,London,97,CG,1629036088,42,-0.4819,15.8999,89.22,2.21
371,London,12,AO,1629036089,75,-11.2061,13.8437,76.32,9.35
372,London,100,SN,1629036090,81,12.485,-16.5469,78.08,4.65
